Fecha,Jugador,Cofre
2026-03-02 11:37:17,byluir2003,Cripta de nivel 5
2026-03-02 11:37:21,byluir2003,Cripta épica de nivel 15
2026-03-02 11:37:26,byluir2003,Cripta de nivel 10
2026-03-02 11:37:30,‘CARP,Cripta de nivel 25
2026-03-02 11:37:34,byluir2003,Cripta de nivel 20
2026-03-02 11:37:38,byluir2003,Ciudadela de nivel 15
2026-03-02 11:37:43,‘CARP,Cripta de nivel 25
2026-03-02 11:37:47,‘CARP,Cripta de nivel 25
2026-03-02 11:37:52,byluir2003,Cripta rara de nivel 15
2026-03-02 11:38:00,Burilen,Cripta rara de nivel 20
2026-03-02 11:38:03,‘CARP,Cripta de nivel 15
2026-03-02 11:38:13,‘CARP,Cripta épica de nivel 25
2026-03-02 11:38:22,‘CARP,Cripta épica de nivel 25
2026-03-02 11:38:27,Dariine,Cripta de nivel 10
2026-03-02 11:38:32,Dariine,Cripta de nivel 5
2026-03-02 11:38:36,Dariine,Arena
2026-03-02 11:38:42,Dariine,Cripta de nivel 5
2026-03-02 11:38:47,luppii,-Cripta de nivel 10
2026-03-02 11:38:51,luppii,-Cripta de nivel 10
2026-03-02 11:38:56,luppii,-Cripta épica de nivel 15
2026-03-02 11:39:00,luppii,-Cripta de nivel 10
2026-03-02 11:39:05,luppii,-Ciudadela de nivel 15
2026-03-02 11:39:08,luppii,Cripta de nivel 15
2026-03-02 11:39:13,luppii,-Cripta rara de nivel 15
2026-03-02 11:39:18,luppii,-Ciudadela de nivel 15
2026-03-02 11:39:21,luppii,-Ciudadela de nivel 15
2026-03-02 11:39:26,Biin,Cripta rara de nivel 20
2026-03-02 11:39:30,Gratius,Ciudadela de nivel 15
2026-03-02 11:39:34,Gratius,Cripta de nivel 10
2026-03-02 11:39:39,Mare,Cripta épica de nivel 15
2026-03-02 11:39:43,ASTERIA,Riqueza del clan
2026-03-02 11:39:48,ASTERIA,Riqueza del clan
2026-03-02 11:39:51,ASTERIA,Riqueza del clan
2026-03-02 11:39:55,ASTERIA,Riqueza del clan
2026-03-02 11:39:59,lau,Cripta de nivel 15
2026-03-02 11:40:06,lau,Cripta de nivel 15
2026-03-02 11:40:11,lau,Cripta de nivel 10
2026-03-02 11:40:17,,a
2026-03-02 11:40:20,Dariine,Cripta de nivel 5
2026-03-02 11:40:24,lau,Cripta de nivel 10
2026-03-02 11:40:28,lau,Cripta de nivel 15
2026-03-02 11:40:32,lau,Cripta de nivel 10
2026-03-02 11:40:38,Yime,Cripta de nivel 20
2026-03-02 11:40:42,Yime,Cripta de nivel 15
2026-03-02 11:40:46,lau,Cripta de nivel 10
2026-03-02 11:40:51,Yime,Cripta de nivel 15
2026-03-02 11:40:55,Yime,Cripta de nivel 15
2026-03-02 11:40:59,Dariine,Cripta de nivel 5
2026-03-02 11:41:04,Yime,Cripta de nivel 10
2026-03-02 11:41:09,lau,Cripta de nivel 10
2026-03-02 11:41:12,lau,Cripta de nivel 10
2026-03-02 11:41:15,Yime,Cripta de nivel 15
2026-03-02 11:41:20,Yime,Cripta de nivel 15
2026-03-02 11:41:24,Yime,Cripta de nivel 15
2026-03-02 11:41:29,Yime,Cripta de nivel 15
2026-03-02 11:41:33,Yime,Cripta de nivel 20
2026-03-02 11:41:36,lau,Cripta de nivel 15
2026-03-02 11:41:43,Yime,Cripta de nivel 20
2026-03-02 11:41:50,Yime,Cripta de nivel 15
2026-03-02 11:41:57,Yime,Cripta de nivel 15
2026-03-02 11:42:04,Yime,Cripta de nivel 15
2026-03-02 11:42:11,Yime,Cripta de nivel 15
2026-03-02 11:42:15,Yime,Cripta de nivel 15
2026-03-02 11:42:21,Yime,Cripta de nivel 15
2026-03-02 11:42:26,Yime,Cripta de nivel 15
2026-03-02 11:42:31,Durea,Cripta rara de nivel 20
2026-03-02 11:42:36,Yime,Cripta de nivel 15
2026-03-02 11:42:41,Durea,Cripta rara de nivel 20
2026-03-02 11:42:45,Yime,Cripta de nivel 20
